PROD_ID,DATE_EXTRACTION,COMPETITOR,COMPETITOR_PRICE,PAY_TYPE
P6,2015-01-30 08:11:38,C3,1898.0,1
P6,2015-01-30 08:11:38,C1,1898.0,1
P6,2015-01-30 08:11:38,C6,1999.9,1
P6,2015-01-31 20:10:14,C2,1894.88,2
P6,2015-01-31 20:10:14,C3,1894.88,2
P6,2015-01-31 20:10:14,C1,1894.88,2
P6,2015-01-31 20:10:14,C6,1999.9,2
P6,2015-01-31 20:10:05,C1,1896.62,1
P6,2015-01-31 20:10:05,C2,2199.0,1
P6,2015-01-31 20:10:05,C3,1895.98,1
P6,2015-01-31 20:10:05,C6,2099.0,1
P6,2015-01-30 08:11:38,C2,1898.0,1
P6,2015-03-16 20:10:05,C4,1599.0,1
P6,2015-03-16 20:10:05,C2,1439.1,1
P6,2015-03-16 20:10:05,C1,1858.0,1
P6,2015-03-16 20:10:05,C6,2379.87,1
P6,2015-03-16 20:10:05,C3,1439.1,1
P6,2015-02-17 08:10:23,C1,1885.9,1
P6,2015-02-17 08:10:23,C3,1859.0,1
P6,2015-02-17 08:10:23,C6,1999.0,2
P6,2015-02-17 08:10:23,C2,1869.15,2
P6,2015-02-17 08:10:23,C4,2155.02,2
P6,2015-02-17 08:10:23,C1,1885.9,2
P6,2015-02-17 08:10:23,C3,1859.0,2
P6,2015-02-17 08:11:34,C2,1994.0,2
P6,2015-02-17 08:11:34,C6,1998.0,2
P6,2015-02-17 08:11:34,C4,2199.0,2
P6,2015-02-17 08:11:34,C3,1994.0,2
P6,2015-02-17 08:11:34,C1,1994.0,2
P6,2015-02-17 08:10:23,C6,1999.0,1
P6,2015-02-17 08:10:23,C2,2199.0,1
P6,2015-02-17 08:10:23,C4,2199.0,1
P6,2015-02-17 08:11:34,C2,1994.0,1
P6,2015-02-17 08:11:34,C6,1998.0,1
P6,2015-02-17 08:11:34,C4,2199.0,1
P6,2015-02-17 08:11:34,C3,1994.0,1
P6,2015-02-17 08:11:34,C1,1994.0,1
P6,2015-02-12 20:10:24,C3,1886.0,1
P6,2015-02-12 20:10:24,C6,2199.0,1
P6,2015-02-12 20:10:24,C2,1885.0,1
P6,2015-02-12 20:10:24,C4,2199.0,1
P6,2015-02-12 20:10:24,C1,1884.99,1
P6,2015-02-12 08:10:24,C6,1999.0,2
P6,2015-02-12 08:10:24,C2,1869.15,2
P6,2015-02-12 08:10:24,C1,1884.99,2
P6,2015-02-12 08:10:24,C3,1859.0,2
P6,2015-02-12 20:10:24,C1,1884.99,2
P6,2015-02-12 20:10:05,C6,1999.0,2
P6,2015-02-12 20:10:05,C2,1869.15,2
P6,2015-02-12 20:10:05,C4,2155.02,2
P6,2015-02-12 20:10:05,C1,1884.9,2
P6,2015-02-12 20:10:05,C3,1859.0,2
P6,2015-02-12 20:10:05,C6,1999.0,1
P6,2015-02-12 20:10:05,C2,2199.0,1
P6,2015-02-12 20:10:05,C4,2199.0,1
P6,2015-02-12 20:10:05,C1,1884.9,1
P6,2015-02-12 20:10:24,C2,1885.0,2
P6,2015-02-12 20:10:05,C3,1859.0,1
P6,2015-02-12 20:10:24,C6,2199.0,2
P6,2015-02-12 20:10:24,C4,2199.0,2
P6,2015-02-12 20:10:24,C3,1886.0,2
P6,2015-03-05 20:10:19,C4,1869.15,2
P6,2015-03-05 20:10:19,C6,2379.87,2
P6,2015-03-06 08:10:22,C4,2199.0,1
P6,2015-03-06 08:10:22,C1,2199.0,1
P6,2015-03-06 08:10:22,C6,2379.87,1
P6,2015-03-05 20:10:19,C1,2199.0,2
P6,2015-02-18 08:10:23,C3,1859.0,2
P6,2015-02-18 08:11:55,C1,1994.0,2
P6,2015-02-18 08:11:55,C1,1994.0,1
P6,2015-02-18 08:10:23,C3,1859.0,1
P6,2015-02-17 08:10:23,C2,2199.0,1
P6,2015-02-18 20:10:15,C1,1999.0,2
P6,2015-02-18 08:10:23,C2,1869.15,2
P6,2015-02-17 08:10:23,C2,1869.15,2
P6,2015-02-18 08:10:23,C2,2199.0,1
P6,2015-02-19 08:11:24,C6,1998.0,2
P6,2015-02-17 08:10:23,C3,1859.0,1
P6,2015-02-19 20:10:15,C6,1998.0,1
P6,2015-02-17 08:10:23,C3,1859.0,2
P6,2015-03-09 20:10:04,C2,1859.0,1
P6,2015-03-09 20:10:04,C6,2379.87,1
P6,2015-03-09 20:10:04,C3,1859.0,1
P6,2015-03-09 20:10:04,C1,1858.99,1
P6,2015-03-09 20:10:04,C4,1599.0,1
P6,2015-03-09 20:10:13,C3,1817.04,1
P6,2015-03-09 20:10:04,C2,1859.0,2
P6,2015-03-09 20:10:04,C6,2379.87,2
P6,2015-03-09 20:10:04,C3,1859.0,2
P6,2015-03-09 20:10:04,C1,1858.99,2
P6,2015-03-09 20:10:04,C4,1599.0,2
P6,2015-03-09 20:10:13,C1,1859.0,1
P6,2015-03-09 20:10:13,C6,1989.0,1
P6,2015-03-09 20:10:13,C2,1859.0,1
P6,2015-03-09 20:10:13,C6,1989.0,2
P6,2015-03-09 20:10:13,C1,1859.0,2
P6,2015-03-09 20:10:13,C2,1859.0,2
P6,2015-03-09 20:10:13,C3,1817.04,2
P6,2015-01-09 08:10:25,C3,1835.1,2
P6,2015-01-09 08:10:25,C6,2799.9,2
P6,2015-01-09 08:10:25,C1,2025.0,2
P6,2015-01-09 08:10:25,C2,1835.1,2
P6,2015-01-09 20:10:14,C4,2199.0,1
P6,2015-01-09 20:10:14,C6,2399.0,1
P6,2015-01-09 20:10:14,C3,1897.99,1
P6,2015-01-09 20:10:14,C1,1897.99,1
P6,2015-01-08 20:10:05,C1,2087.99,2
P6,2015-01-08 20:10:05,C2,1835.1,2
P6,2015-01-08 20:10:05,C3,1835.1,2
P6,2015-01-08 20:10:05,C6,2799.9,2
P6,2015-01-09 20:10:14,C2,1897.99,1
P6,2015-03-13 20:10:05,C6,2379.87,2
P6,2015-03-13 20:10:05,C2,1979.1,2
P6,2015-03-13 20:10:05,C3,1619.1,2
P6,2015-03-13 20:10:05,C1,1857.99,2
P6,2015-03-13 20:10:05,C4,1599.0,2
P6,2015-03-13 20:10:05,C2,1979.1,1
P6,2015-03-13 20:10:05,C6,2379.87,1
P6,2015-03-13 20:10:05,C3,1619.1,1
P6,2015-03-13 20:10:05,C1,1857.99,1
P6,2015-03-13 20:10:05,C4,1599.0,1
P6,2015-02-07 20:11:27,C4,2199.0,2
P6,2015-02-07 20:11:27,C6,1999.9,2
P6,2015-02-07 20:11:27,C2,1887.96,2
P6,2015-02-07 20:11:27,C3,1887.96,2
P6,2015-02-07 20:11:27,C1,1887.96,2
